cog_name,type,count
g__Enterococcus_silix_COG_2804,core,691
g__Enterococcus_silix_COG_1225,core,691
g__Enterococcus_silix_COG_4124,core,691
g__Enterococcus_silix_COG_6398,core,691
g__Enterococcus_silix_COG_99,core,691
g__Enterococcus_silix_COG_458,core,691
g__Enterococcus_silix_COG_781,core,691
g__Enterococcus_silix_COG_257,core,691
g__Enterococcus_silix_COG_803,core,691
g__Enterococcus_silix_COG_426,core,691
g__Enterococcus_silix_COG_252,core,691
g__Enterococcus_silix_COG_921,core,691
g__Enterococcus_silix_COG_10469,core,691
g__Enterococcus_silix_COG_182,core,691
g__Enterococcus_silix_COG_776,core,691
g__Enterococcus_silix_COG_996,core,691
g__Enterococcus_silix_COG_3647,core,691
g__Enterococcus_silix_COG_187,core,691
g__Enterococcus_silix_COG_477,core,691
g__Enterococcus_silix_COG_999,core,691
g__Enterococcus_silix_COG_177,core,691
g__Enterococcus_silix_COG_1277,core,691
g__Enterococcus_silix_COG_769,core,691
g__Enterococcus_silix_COG_124,core,691
g__Enterococcus_silix_COG_927,core,691
g__Enterococcus_silix_COG_168,core,691
g__Enterococcus_silix_COG_4199,core,691
g__Enterococcus_silix_COG_645,core,691
g__Enterococcus_silix_COG_334,core,691
g__Enterococcus_silix_COG_782,core,691
g__Enterococcus_silix_COG_434,core,691
g__Enterococcus_silix_COG_1078,core,691
g__Enterococcus_silix_COG_1857,core,691
g__Enterococcus_silix_COG_250,core,691
g__Enterococcus_silix_COG_201,core,691
g__Enterococcus_silix_COG_3747,core,691
g__Enterococcus_silix_COG_748,core,691
g__Enterococcus_silix_COG_246,core,691
g__Enterococcus_silix_COG_6986,core,691
g__Enterococcus_silix_COG_354,core,691
g__Enterococcus_silix_COG_841,core,691
g__Enterococcus_silix_COG_2372,core,691
g__Enterococcus_silix_COG_58,core,691
g__Enterococcus_silix_COG_1088,core,691
g__Enterococcus_silix_COG_1892,core,691
g__Enterococcus_silix_COG_1477,core,691
g__Enterococcus_silix_COG_940,core,691
g__Enterococcus_silix_COG_6163,core,691
g__Enterococcus_silix_COG_1433,core,691
g__Enterococcus_silix_COG_734,core,691
g__Enterococcus_silix_COG_430,core,691
g__Enterococcus_silix_COG_186,core,691
g__Enterococcus_silix_COG_2882,core,691
g__Enterococcus_silix_COG_230,core,691
g__Enterococcus_silix_COG_793,core,691
g__Enterococcus_silix_COG_4013,core,691
g__Enterococcus_silix_COG_1241,core,691
g__Enterococcus_silix_COG_827,core,691
g__Enterococcus_silix_COG_757,core,691
g__Enterococcus_silix_COG_324,core,691
g__Enterococcus_silix_COG_938,core,691
g__Enterococcus_silix_COG_143,core,691
g__Enterococcus_silix_COG_163,core,691
g__Enterococcus_silix_COG_1416,core,691
g__Enterococcus_silix_COG_826,core,691
g__Enterococcus_silix_COG_5138,core,691
g__Enterococcus_silix_COG_57,core,691
g__Enterococcus_silix_COG_5770,core,691
g__Enterococcus_silix_COG_844,core,691
g__Enterococcus_silix_COG_845,core,691
g__Enterococcus_silix_COG_671,core,691
g__Enterococcus_silix_COG_1543,core,691
g__Enterococcus_silix_COG_742,core,691
g__Enterococcus_silix_COG_44,core,691
g__Enterococcus_silix_COG_279,core,691
g__Enterococcus_silix_COG_10474,core,691
g__Enterococcus_silix_COG_2472,core,691
g__Enterococcus_silix_COG_779,core,691
g__Enterococcus_silix_COG_78,core,691
